template_slot,sample_time_label,official_interval_label,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh,b0_grid_kwh,b0_waste_kwh,b1_grid_kwh,b1_charge_kwh,b1_discharge_kwh,b1_waste_kwh,b1_charge_mode,b1_soc_before_kwh,b1_soc_after_kwh
42,07:00:00,7:00-7:10,0.8334,4523.4561,1508.6318,753.90935,251.43863333333334,502.4707166666667,0.0,0.0,0.0,502.4707166666667,0.0,0.0,6779.561888888889,6221.261092592593
43,07:10:00,7:10-7:20,0.8092,4524.0721,1791.4107,754.0120166666667,298.56845,455.4435666666667,0.0,0.0,0.0,455.4435666666667,0.0,0.0,6221.261092592593,5715.212685185185
44,07:20:00,7:20-7:30,0.7972,4545.8867,2085.4865,757.6477833333333,347.5810833333333,410.0667,0.0,0.0,0.0,410.0667,0.0,0.0,5715.212685185185,5259.583018518519
45,07:30:00,7:30-7:40,0.7644,4523.2418,2381.2611,753.8736333333333,396.87685,356.99678333333327,0.0,0.0,0.0,356.99678333333327,0.0,0.0,5259.583018518519,4862.919925925926
46,07:40:00,7:40-7:50,0.6899,4383.3566,2683.1752,730.5594333333333,447.1958666666667,283.36356666666666,0.0,0.0,0.0,283.36356666666666,0.0,0.0,4862.919925925926,4548.071518518518
47,07:50:00,7:50-8:00,0.86,4910.4599,2986.3552,818.4099833333332,497.72586666666666,320.68411666666657,0.0,0.0,0.0,320.68411666666657,0.0,0.0,4548.071518518518,4191.755833333333
48,08:00:00,8:00-8:10,1.1617,5799.7327,3289.204,966.6221166666666,548.2006666666666,418.42144999999994,0.0,0.0,0.0,418.42144999999994,0.0,0.0,4191.755833333333,3726.8431111111104
49,08:10:00,8:10-8:20,1.1683,5884.826,3593.3613,980.8043333333333,598.89355,381.91078333333326,0.0,0.0,0.0,381.91078333333326,0.0,0.0,3726.8431111111104,3302.4977962962957
50,08:20:00,8:20-8:30,1.0956,5748.0713,3890.7332,958.0118833333332,648.4555333333333,309.55634999999995,0.0,0.0,0.0,309.55634999999995,0.0,0.0,3302.4977962962957,2958.5462962962956
51,08:30:00,8:30-8:40,1.0849,5769.0581,4181.3417,961.5096833333333,696.8902833333333,264.61940000000004,0.0,0.0,0.0,264.61940000000004,0.0,0.0,2958.5462962962956,2664.52474074074
52,08:40:00,8:40-8:50,1.061,5754.2105,4471.7657,959.0350833333333,745.2942833333333,213.74080000000004,0.0,0.0,0.0,213.74080000000004,0.0,0.0,2664.52474074074,2427.0349629629623
53,08:50:00,8:50-9:00,1.043,5824.1807,4752.8272,970.6967833333333,792.1378666666666,178.55891666666673,0.0,0.0,0.0,178.55891666666673,0.0,0.0,2427.0349629629623,2228.6361666666658
54,09:00:00,9:00-9:10,1.036,5954.2601,5021.9074,992.3766833333334,836.9845666666666,155.39211666666677,0.0,0.0,0.0,155.39211666666677,0.0,0.0,2228.6361666666658,2055.9782592592583
55,09:10:00,9:10-9:20,1.0147,5958.9696,5285.4126,993.1616,880.9020999999999,112.25950000000012,0.0,0.0,0.0,112.25950000000012,0.0,0.0,2055.9782592592583,1931.2454814814803
56,09:20:00,9:20-9:30,0.9922,5929.5554,5543.1742,988.2592333333333,923.8623666666667,64.3968666666666,0.0,0.0,0.0,64.3968666666666,0.0,0.0,1931.2454814814803,1859.6934074074063
57,09:30:00,9:30-9:40,0.97,5923.7828,5788.4093,987.2971333333332,964.7348833333333,22.56224999999995,0.0,0.0,0.0,22.56224999999995,0.0,0.0,1859.6934074074063,1834.6242407407397
58,09:40:00,9:40-9:50,0.9422,5907.586,6012.1304,984.5976666666667,1002.0217333333333,0.0,17.42406666666659,0.0,17.42406666666659,0.0,0.0,1.0,1834.6242407407397,1850.3059007407396
59,09:50:00,9:50-10:00,0.9569,5899.1262,6216.1528,983.1877,1036.0254666666665,0.0,52.83776666666654,0.0,52.83776666666654,0.0,0.0,1.0,1850.3059007407396,1897.8598907407395
60,10:00:00,10:00-10:10,0.9977,5902.2196,6409.5941,983.7032666666667,1068.2656833333333,0.0,84.56241666666665,0.0,84.56241666666665,0.0,0.0,1.0,1897.8598907407395,1973.9660657407394
61,10:10,10:10-10:20,0.9919,5897.4793,6599.3808,982.9132166666666,1099.8968,0.0,116.9835833333334,0.0,116.9835833333334,0.0,0.0,1.0,1973.9660657407394,2079.2512907407395
62,10:20,10:20-10:30,0.9588,5886.7568,6766.7204,981.1261333333333,1127.7867333333334,0.0,146.66060000000004,0.0,146.66060000000004,0.0,0.0,1.0,2079.2512907407395,2211.2458307407396
63,10:30,10:30-10:40,0.9549,5873.4708,6914.5923,978.9118,1152.43205,0.0,173.52024999999992,0.0,173.52024999999992,0.0,0.0,1.0,2211.2458307407396,2367.4140557407395
64,10:40,10:40-10:50,0.9839,5858.0308,7064.2053,976.3384666666667,1177.36755,0.0,201.02908333333323,0.0,201.02908333333323,0.0,0.0,1.0,2367.4140557407395,2548.3402307407396
65,10:50,10:50-11:00,0.799,5844.9948,7197.4315,974.1658,1199.5719166666665,0.0,225.40611666666655,0.0,225.40611666666655,0.0,0.0,1.0,2548.3402307407396,2751.2057357407393
66,11:00,11:00-11:10,0.5025,5839.0587,7303.1142,973.1764499999999,1217.1857,0.0,244.00925000000007,0.0,244.00925000000007,0.0,0.0,1.0,2751.2057357407393,2970.8140607407395
67,11:10,11:10-11:20,0.4662,5838.7103,7387.6848,973.1183833333332,1231.2808,0.0,258.1624166666668,575.1709166666665,833.3333333333333,0.0,0.0,1.0,2970.8140607407395,3720.8140607407395
68,11:20,11:20-11:30,0.5007,5823.4378,7459.227,970.5729666666666,1243.2044999999998,0.0,272.6315333333332,0.0,272.6315333333332,0.0,0.0,1.0,3720.8140607407395,3966.1824407407394
69,11:30,11:30-11:40,0.4827,5814.7932,7520.7191,969.1322,1253.4531833333333,0.0,284.3209833333333,0.0,284.3209833333333,0.0,0.0,1.0,3966.1824407407394,4222.07132574074
70,11:40,11:40-11:50,0.4785,5832.3951,7568.2039,972.06585,1261.3673166666667,0.0,289.3014666666668,179.2771713991827,468.5786380658495,0.0,0.0,1.0,4222.07132574074,4643.792100000004
71,11:50,11:50-12:00,0.4662,5712.901,7592.1539,952.1501666666666,1265.3589833333333,0.0,313.20881666666673,520.1245166666665,833.3333333333333,0.0,0.0,1.0,4643.792100000004,5393.792100000004
72,12:00,12:00-12:10,0.4432,5519.4607,7601.0433,919.9101166666666,1266.84055,0.0,346.9304333333333,486.40289999999993,833.3333333333333,0.0,0.0,1.0,5393.792100000004,6143.792100000004
73,12:10,12:10-12:20,0.4411,5494.7907,7612.316,915.7984499999999,1268.7193333333332,0.0,352.92088333333334,480.4124499999999,833.3333333333333,0.0,0.0,1.0,6143.792100000004,6893.792100000004
74,12:20,12:20-12:30,0.4551,5514.4524,7602.6524,919.0754,1267.1087333333332,0.0,348.0333333333333,485.29999999999995,833.3333333333333,0.0,0.0,1.0,6893.792100000004,7643.792100000004
75,12:30,12:30-12:40,0.4463,5485.829,7554.1872,914.3048333333332,1259.0312,0.0,344.72636666666665,488.6069666666666,833.3333333333333,0.0,0.0,1.0,7643.792100000004,8393.792100000004
76,12:40,12:40-12:50,0.4113,5462.3628,7472.7384,910.3937999999999,1245.4564,0.0,335.0626000000001,498.27073333333317,833.3333333333333,0.0,0.0,1.0,8393.792100000004,9143.792100000004
77,12:50,12:50-13:00,0.5682,5566.1066,7393.4172,927.6844333333333,1232.2361999999998,0.0,304.5517666666665,0.0,304.5517666666665,0.0,0.0,1.0,9143.792100000004,9417.888690000003
78,13:00,13:00-13:10,0.8279,5725.7548,7312.7979,954.2924666666665,1218.79965,0.0,264.5071833333334,0.0,264.5071833333334,0.0,0.0,1.0,9417.888690000003,9655.945155000003
79,13:10,13:10-13:20,0.8636,5739.4957,7194.541,956.5826166666667,1199.0901666666666,0.0,242.50754999999992,0.0,242.50754999999992,0.0,0.0,1.0,9655.945155000003,9874.201950000002
80,13:20,13:20-13:30,0.8416,5714.6836,7053.1371,952.4472666666667,1175.5228499999998,0.0,223.07558333333316,0.0,223.07558333333316,0.0,0.0,1.0,9874.201950000002,10074.969975000002
81,13:30,13:30-13:40,0.8618,5717.8505,6910.4064,952.9750833333333,1151.7343999999998,0.0,198.75931666666656,0.0,198.75931666666656,0.0,0.0,1.0,10074.969975000002,10253.853360000001
82,13:40,13:40-13:50,0.8623,5708.2486,6772.4075,951.3747666666666,1128.7345833333334,0.0,177.3598166666668,0.0,177.3598166666668,0.0,0.0,1.0,10253.853360000001,10413.477195000001
83,13:50,13:50-14:00,0.9026,5696.9182,6607.36,949.4863666666666,1101.2266666666665,0.0,151.74029999999982,0.0,151.74029999999982,0.0,0.0,1.0,10413.477195000001,10550.043465
84,14:00,14:00-14:10,0.9754,5692.2983,6412.5085,948.7163833333334,1068.7514166666665,0.0,120.0350333333331,0.0,120.0350333333331,0.0,0.0,1.0,10550.043465,10658.074995
85,14:10,14:10-14:20,1.0002,5687.1291,6214.0158,947.8548499999999,1035.6693,0.0,87.81445000000008,0.0,87.81445000000008,0.0,0.0,1.0,10658.074995,10737.108
86,14:20,14:20-14:30,0.9978,5678.962,6000.7112,946.4936666666667,1000.1185333333333,0.0,53.62486666666655,0.0,53.62486666666655,0.0,0.0,1.0,10737.108,10785.37038
87,14:30,14:30-14:40,1.0271,5669.4508,5766.9816,944.9084666666665,961.1636,0.0,16.255133333333447,0.0,16.255133333333447,0.0,0.0,1.0,10785.37038,10800.0
88,14:40,14:40-14:50,1.0906,5664.1948,5521.5066,944.0324666666667,920.2511,23.781366666666713,0.0,0.0,0.0,23.781366666666713,0.0,0.0,10800.0,10773.57625925926
89,14:50,14:50-15:00,0.9376,5672.7011,5268.781,945.4501833333334,878.1301666666666,67.32001666666679,0.0,0.0,0.0,67.32001666666679,0.0,0.0,10773.57625925926,10698.77624074074
90,15:00,15:00-15:10,0.6694,5682.2544,5009.7152,947.0423999999999,834.9525333333332,112.0898666666667,0.0,112.0898666666667,0.0,0.0,0.0,0.0,10698.77624074074,10698.77624074074
91,15:10,15:10-15:20,0.66,5669.0195,4743.4484,944.8365833333334,790.5747333333334,154.26184999999998,0.0,266.73269362139905,112.47084362139907,0.0,0.0,1.000000000000006,10698.77624074074,10800.0
92,15:20,15:20-15:30,0.7217,5656.3651,4471.224,942.7275166666666,745.204,197.52351666666664,0.0,197.52351666666664,0.0,0.0,0.0,0.0,10800.0,10800.0
93,15:30,15:30-15:40,0.7308,5657.0867,4188.2025,942.8477833333333,698.03375,244.8140333333332,0.0,244.8140333333332,0.0,0.0,0.0,0.0,10800.0,10800.0
94,15:40,15:40-15:50,0.7534,5662.6008,3889.3931,943.7668,648.2321833333333,295.5346166666667,0.0,295.5346166666667,0.0,0.0,0.0,0.0,10800.0,10800.0
95,15:50,15:50-16:00,0.7823,5669.2596,3594.5946,944.8766,599.0990999999999,345.77750000000015,0.0,345.77750000000015,0.0,0.0,0.0,0.0,10800.0,10800.0
96,16:00,16:00-16:10,0.8055,5673.4767,3303.8878,945.57945,550.6479666666667,394.9314833333333,0.0,394.9314833333333,0.0,0.0,0.0,0.0,10800.0,10800.0
97,16:10,16:10-16:20,0.8271,5671.0146,2998.4247,945.1691000000001,499.73744999999997,445.4316500000001,0.0,445.4316500000001,0.0,-0.0,0.0,0.0,10800.0,10800.0
98,16:20,16:20-16:30,0.8519,5661.5926,2687.4131,943.5987666666666,447.90218333333337,495.69658333333325,0.0,495.69658333333325,0.0,-0.0,0.0,0.0,10800.0,10800.0
99,16:30,16:30-16:40,0.8791,5665.8922,2383.1779,944.3153666666667,397.1963166666667,547.11905,0.0,547.11905,0.0,-0.0,0.0,0.0,10800.0,10800.0
100,16:40,16:40-16:50,0.9024,5689.0372,2089.1246,948.1728666666666,348.18743333333333,599.9854333333333,0.0,599.9854333333333,0.0,-0.0,0.0,0.0,10800.0,10800.0
101,16:50,16:50-17:00,0.9163,5603.6614,1791.0829,933.9435666666666,298.5138166666667,635.4297499999999,0.0,635.4297499999999,0.0,-0.0,0.0,0.0,10800.0,10800.0
102,17:00,17:00-17:10,0.9264,5466.7124,1501.7283,911.1187333333334,250.28805,660.8306833333334,0.0,660.8306833333334,0.0,-0.0,0.0,0.0,10800.0,10800.0
103,17:10,17:10-17:20,0.9462,5467.3939,1255.1723,911.2323166666666,209.19538333333333,702.0369333333333,0.0,702.0369333333333,0.0,-0.0,0.0,0.0,10800.0,10800.0
104,17:20,17:20-17:30,0.9742,5464.727,1036.3323,910.7878333333333,172.72205,738.0657833333333,0.0,738.0657833333333,0.0,-0.0,0.0,0.0,10800.0,10800.0
105,17:30,17:30-17:40,0.9862,5492.4458,836.7775,915.4076333333334,139.46291666666667,775.9447166666666,0.0,775.9447166666666,0.0,-0.0,0.0,0.0,10800.0,10800.0
106,17:40,17:40-17:50,0.976,5621.7308,665.2313,936.9551333333334,110.87188333333333,826.08325,0.0,826.08325,0.0,0.0,0.0,0.0,10800.0,10800.0
107,17:50,17:50-18:00,1.0742,5091.2126,516.6758,848.5354333333332,86.11263333333332,762.4227999999999,0.0,762.4227999999999,0.0,-0.0,0.0,0.0,10800.0,10800.0
108,18:00,18:00-18:10,1.2313,4208.5688,386.6731,701.4281333333333,64.44551666666666,636.9826166666667,0.0,636.9826166666667,0.0,-0.0,0.0,0.0,10800.0,10800.0
109,18:10,18:10-18:20,1.2561,4122.7611,275.7933,687.1268499999999,45.96554999999999,641.1612999999999,0.0,531.8940499999999,0.0,109.26725000000005,0.0,0.0,10800.0,10678.591944444444
110,18:20,18:20-18:30,1.2447,4255.9358,182.9526,709.3226333333333,30.492099999999997,678.8305333333333,0.0,678.8305333333333,0.0,0.0,0.0,0.0,10678.591944444444,10678.591944444444
111,18:30,18:30-18:40,1.2545,4225.9524,108.3414,704.3254,18.0569,686.2684999999999,0.0,686.2684999999999,0.0,0.0,0.0,0.0,10678.591944444444,10678.591944444444
112,18:40,18:40-18:50,1.2522,4233.3384,54.3121,705.5563999999999,9.052016666666667,696.5043833333333,0.0,696.5043833333333,0.0,0.0,0.0,0.0,10678.591944444444,10678.591944444444
113,18:50,18:50-19:00,1.2881,4246.4625,18.6569,707.7437499999999,3.1094833333333334,704.6342666666666,0.0,0.0,0.0,704.6342666666666,0.0,0.0,10678.591944444444,9895.664981481481
114,19:00,19:00-19:10,1.3466,4239.1795,0.2753,706.5299166666666,0.04588333333333333,706.4840333333333,0.0,0.0,0.0,706.4840333333333,0.0,0.0,9895.664981481481,9110.682722222222
115,19:10,19:10-19:20,1.3523,4244.6684,0.2296,707.4447333333333,0.038266666666666664,707.4064666666666,0.0,0.0,0.0,707.4064666666666,0.0,0.0,9110.682722222222,8324.675537037037
116,19:20,19:20-19:30,1.3445,4251.9187,0.6007,708.6531166666666,0.10011666666666666,708.553,0.0,0.0,0.0,708.553,0.0,0.0,8324.675537037037,7537.394425925927
117,19:30,19:30-19:40,1.3483,4256.6813,0.0,709.4468833333333,0.0,709.4468833333333,0.0,0.0,0.0,709.4468833333333,0.0,0.0,7537.394425925927,6749.120111111112
118,19:40,19:40-19:50,1.349,4267.3947,0.0,711.23245,0.0,711.23245,0.0,0.0,0.0,711.23245,0.0,0.0,6749.120111111112,5958.861833333334
119,19:50,19:50-20:00,1.3473,4269.975,0.0,711.6625,0.0,711.6625,0.0,0.0,0.0,711.6625,0.0,0.0,5958.861833333334,5168.125722222223
120,20:00,20:00-20:10,1.3482,4268.6702,0.0,711.4450333333332,0.0,711.4450333333332,0.0,0.0,0.0,711.4450333333332,0.0,0.0,5168.125722222223,4377.631240740741
121,20:10,20:10-20:20,1.3513,4282.2245,0.0,713.7040833333333,0.0,713.7040833333333,0.0,0.0,0.0,713.7040833333333,0.0,0.0,4377.631240740741,3584.626703703704
122,20:20,20:20-20:30,1.34,4291.7049,0.0,715.28415,0.0,715.28415,0.0,0.0,0.0,715.28415,0.0,0.0,3584.626703703704,2789.8665370370372
123,20:30,20:30-20:40,1.3489,4291.3611,0.0,715.22685,0.0,715.22685,0.0,0.0,0.0,715.22685,0.0,0.0,2789.8665370370372,1995.170037037037
124,20:40,20:40-20:50,1.3952,4293.9182,0.0,715.6530333333333,0.0,715.6530333333333,0.0,0.0,0.0,715.6530333333333,0.0,0.0,1995.170037037037,1200.0
125,20:50,20:50-21:00,1.2226,4295.2135,0.0,715.8689166666666,0.0,715.8689166666666,0.0,715.8689166666666,0.0,-0.0,0.0,0.0,1200.0,1200.0
126,21:00,21:00-21:10,0.9332,4302.0307,0.0,717.0051166666667,0.0,717.0051166666667,0.0,717.0051166666667,0.0,0.0,0.0,0.0,1200.0,1200.0
127,21:10,21:10-21:20,0.9068,4320.9618,0.0,720.1603,0.0,720.1603,0.0,720.1603,0.0,0.0,0.0,0.0,1200.0,1200.0
128,21:20,21:20-21:30,0.9371,4302.3292,0.0,717.0548666666666,0.0,717.0548666666666,0.0,717.0548666666666,0.0,0.0,0.0,0.0,1200.0,1200.0
129,21:30,21:30-21:40,0.9371,4322.6758,0.0,720.4459666666667,0.0,720.4459666666667,0.0,720.4459666666667,0.0,0.0,0.0,0.0,1200.0,1200.0
130,21:40,21:40-21:50,0.9871,4428.8083,0.0,738.1347166666666,0.0,738.1347166666666,0.0,738.1347166666666,0.0,-0.0,0.0,0.0,1200.0,1200.0
131,21:50,21:50-22:00,0.7764,4030.1614,0.0,671.6935666666666,0.0,671.6935666666666,0.0,671.6935666666666,0.0,-0.0,0.0,0.0,1200.0,1200.0
132,22:00,22:00-22:10,0.4209,3362.7419,0.0,560.4569833333333,0.0,560.4569833333333,0.0,1393.7903166666665,833.3333333333333,0.0,0.0,1.0,1200.0,1950.0
133,22:10,22:10-22:20,0.3859,3309.3934,0.0,551.5655666666667,0.0,551.5655666666667,0.0,1384.8989,833.3333333333333,0.0,0.0,1.0,1950.0,2700.0
134,22:20,22:20-22:30,0.4368,3412.9563,0.0,568.8260499999999,0.0,568.8260499999999,0.0,568.8260499999999,0.0,0.0,0.0,0.0,2700.0,2700.0
135,22:30,22:30-22:40,0.4198,3381.9313,0.0,563.6552166666667,0.0,563.6552166666667,0.0,1396.98855,833.3333333333333,0.0,0.0,1.0,2700.0,3450.0
136,22:40,22:40-22:50,0.4186,3386.5592,0.0,564.4265333333333,0.0,564.4265333333333,0.0,1397.7598666666665,833.3333333333333,0.0,0.0,1.0,3450.0,4200.0
137,22:50,22:50-23:00,0.4241,3400.4846,0.0,566.7474333333332,0.0,566.7474333333332,0.0,566.7474333333332,0.0,0.0,0.0,-0.0,4200.0,4200.0
138,23:00,23:00-23:10,0.4237,3399.2426,0.0,566.5404333333333,0.0,566.5404333333333,0.0,1399.8737666666666,833.3333333333333,0.0,0.0,1.0,4200.0,4950.0
139,23:10,23:10-23:20,0.4248,3406.9809,0.0,567.83015,0.0,567.83015,0.0,567.83015,0.0,0.0,0.0,0.0,4950.0,4950.0
140,23:20,23:20-23:30,0.424,3416.1518,0.0,569.3586333333333,0.0,569.3586333333333,0.0,569.3586333333333,0.0,0.0,0.0,0.0,4950.0,4950.0
141,23:30,23:30-23:40,0.422,3421.9811,0.0,570.3301833333333,0.0,570.3301833333333,0.0,1403.6635166666665,833.3333333333333,0.0,0.0,1.0,4950.0,5700.0
142,23:40,23:40-23:50,0.424,3429.6923,0.0,571.6153833333333,0.0,571.6153833333333,0.0,904.9487166666665,333.3333333333333,0.0,0.0,1.0,5700.0,6000.0
143,23:50,23:50-0:00+1,0.4271,3439.061,0.0,573.1768333333333,0.0,573.1768333333333,0.0,573.1768333333333,0.0,0.0,0.0,0.0,6000.0,6000.0
144,0:00+1,0:00+1-0:10+1,0.4276,3444.7259,0.0,574.1209833333332,0.0,574.1209833333332,0.0,907.4543166666665,333.3333333333333,0.0,0.0,1.0,6000.0,6300.0
