clock_minute,clock_label,count,mean,median,std,min,max
250,04:10,365,0.4401183561643836,0.4463,0.05769795373687226,0.2941,0.5815
260,04:20,365,0.43885315068493147,0.4464,0.05741687945512703,0.2996,0.5749
270,04:30,365,0.4363734246575342,0.4444,0.05999824475956367,0.272,0.5728
280,04:40,365,0.43928410958904107,0.4482,0.0603573330995419,0.292,0.5881
290,04:50,365,0.4422408219178082,0.4488,0.05744395600705247,0.2848,0.5909
300,05:00,365,0.43950356164383564,0.4468,0.05710122603545718,0.2925,0.5822
310,05:10,365,0.4332564383561644,0.4386,0.05872795909605186,0.2785,0.5628
320,05:20,365,0.44385479452054794,0.4512,0.06043101516363649,0.2774,0.5636
330,05:30,365,0.4300843835616438,0.4356,0.059196321281470426,0.26,0.6005
340,05:40,365,0.3712602739726027,0.3744,0.055842756915509946,0.2269,0.5007
350,05:50,365,0.5708342465753424,0.5815,0.07515074926545189,0.3734,0.7143
360,06:00,365,0.9098520547945206,0.9364,0.11037333338453897,0.6538,1.0933
370,06:10,365,0.9368282191780821,0.9609,0.11848644958161803,0.6631,1.1569
380,06:20,365,0.8758098630136986,0.8892,0.11891373806358932,0.5483,1.1031
390,06:30,365,0.8758632876712328,0.8784,0.12666122948675176,0.5624,1.1245
400,06:40,365,0.8601454794520548,0.8574,0.13353775513620186,0.5289,1.1401
410,06:50,365,0.8441986301369863,0.8409,0.13122026705935835,0.5411,1.1269
420,07:00,365,0.8334449315068493,0.8242,0.1236734176747359,0.526,1.0953
430,07:10,365,0.8091994520547945,0.7974,0.1257390407682725,0.499,1.1035
440,07:20,365,0.7971865753424657,0.7873,0.1306301906715589,0.4755,1.1031
450,07:30,365,0.7644364383561644,0.7507,0.12906071176947964,0.473,1.0684
460,07:40,365,0.6898906849315068,0.6803,0.12293830946848566,0.4258,0.9785
470,07:50,365,0.859966301369863,0.8629,0.14361391193732564,0.5332,1.1622
480,08:00,365,1.161682191780822,1.1859,0.18785244965487344,0.7473,1.541
490,08:10,365,1.1682860273972602,1.1959,0.19166588071877214,0.7594,1.5469
500,08:20,365,1.0956,1.1236,0.18445803745680905,0.6545,1.4735
510,08:30,365,1.0849008219178082,1.111,0.18881068771662748,0.6554,1.419
520,08:40,365,1.061024383561644,1.0908,0.19121990255875,0.6419,1.3972
530,08:50,365,1.0430260273972602,1.0653,0.17902888298146938,0.6459,1.3717
540,09:00,365,1.0359882191780823,1.0482,0.16272637148359065,0.6528,1.3766
550,09:10,365,1.014678082191781,1.0281,0.1611480774627431,0.6318,1.3481
560,09:20,365,0.9922032876712329,1.0035,0.1640918800521573,0.5946,1.3104
570,09:30,365,0.9700057534246576,0.9722,0.16267661929978489,0.5802,1.3031
580,09:40,365,0.9422043835616439,0.9478,0.16104587696127487,0.5511,1.2752
590,09:50,365,0.9569432876712328,0.9661,0.17494541626027307,0.5601,1.3318
600,10:00,365,0.9976506849315068,0.9784,0.21609219334090077,0.5098,1.4993
610,10:10,365,0.9919515068493151,0.9741,0.21967130497601653,0.5015,1.4966
620,10:20,365,0.95878,0.9463,0.2091232439611512,0.5036,1.4275
630,10:30,365,0.9548854794520548,0.9284,0.213682860627466,0.5131,1.4258
640,10:40,365,0.9839383561643835,0.9578,0.22368199183174728,0.5348,1.4627
650,10:50,365,0.7990120547945206,0.7989,0.19749136430528258,0.3334,1.241
660,11:00,365,0.5025016438356164,0.5163,0.1659794929658554,0.0489,0.8645
670,11:10,365,0.4662402739726027,0.4796,0.15929314256789437,0.0506,0.7785
680,11:20,365,0.5006649315068493,0.5186,0.1608818724987074,0.1016,0.8229
690,11:30,365,0.48273972602739723,0.497,0.16392469067901397,0.0776,0.802
700,11:40,365,0.47846082191780825,0.4867,0.16335709645087665,0.04,0.7991
710,11:50,365,0.4661709589041096,0.4715,0.15791283250825836,0.034,0.7757
720,12:00,365,0.4431909589041096,0.4454,0.15149768540070266,0.0076,0.7706
730,12:10,365,0.4411427397260274,0.4468,0.14980035792424368,0.0376,0.8026
740,12:20,365,0.45507616438356163,0.4672,0.1527696028196945,0.085,0.8183
750,12:30,365,0.44629369863013696,0.4596,0.15287146449872793,0.0987,0.7799
760,12:40,365,0.41134109589041096,0.4176,0.14787698596068857,0.0224,0.7267
770,12:50,365,0.5682405479452055,0.585,0.15198972528794674,0.1533,0.903
780,13:00,365,0.8278586301369864,0.8522,0.16368215904742342,0.4046,1.1525
790,13:10,365,0.8635953424657535,0.8878,0.16180480661983052,0.4606,1.1717
800,13:20,365,0.8415671232876712,0.8595,0.1575156969805651,0.4443,1.1437
810,13:30,365,0.8617860273972603,0.8828,0.15496017105024873,0.4637,1.1705
820,13:40,365,0.862324109589041,0.8904,0.15164529724120215,0.4662,1.1863
830,13:50,365,0.9025854794520547,0.9105,0.16790128324389916,0.478,1.2461
840,14:00,365,0.9754490410958905,0.9523,0.21424271444499418,0.4811,1.4592
850,14:10,365,1.0002054794520547,0.9751,0.21969655564732854,0.5074,1.4822
860,14:20,365,0.9977819178082192,0.9847,0.20752669059544768,0.5381,1.4394
870,14:30,365,1.0270865753424656,1.0153,0.2096950015925744,0.5646,1.5053
880,14:40,365,1.090606301369863,1.0726,0.21908903325623275,0.5867,1.5372
890,14:50,365,0.9376180821917808,0.9366,0.18881280412569057,0.4626,1.3326
900,15:00,365,0.6694043835616439,0.6851,0.15082152370831772,0.2515,0.9561
910,15:10,365,0.6599739726027397,0.6792,0.1455531252164445,0.2829,0.9117
920,15:20,365,0.7217131506849315,0.7503,0.14826664201457018,0.3429,0.9899
930,15:30,365,0.730755890410959,0.7635,0.1497051260971654,0.3284,1.0413
940,15:40,365,0.7534054794520548,0.7824,0.14854307057566493,0.3517,1.0102
950,15:50,365,0.7823328767123287,0.8107,0.14704069618216167,0.3876,1.0505
960,16:00,365,0.8055224657534246,0.829,0.14632784314926725,0.4239,1.0839
970,16:10,365,0.82714,0.8604,0.14666740010222878,0.4817,1.0778
980,16:20,365,0.8519134246575343,0.8888,0.1477608054119453,0.4914,1.0929
990,16:30,365,0.8790728767123288,0.9152,0.14643070541242673,0.4975,1.1491
1000,16:40,365,0.9024243835616439,0.9388,0.14187859840028122,0.56,1.1532
1010,16:50,365,0.9162898630136986,0.9589,0.15308245724327957,0.5557,1.1698
1020,17:00,365,0.9263846575342466,0.988,0.17090495265171549,0.5262,1.2008
1030,17:10,365,0.9461676712328767,1.0067,0.16690740111027472,0.5336,1.174
1040,17:20,365,0.9741663013698629,1.0431,0.15963745064049611,0.5758,1.181
1050,17:30,365,0.9862210958904111,1.063,0.1646605770218523,0.5853,1.2098
1060,17:40,365,0.9759786301369863,1.0632,0.170575758952069,0.5743,1.1793
1070,17:50,365,1.0741761643835617,1.1351,0.1357089923756759,0.7589,1.287
1080,18:00,365,1.2312750684931506,1.249,0.08650321316402834,0.9981,1.4337
1090,18:10,365,1.2560512328767124,1.2684,0.07997487125851786,1.0657,1.4668
1100,18:20,365,1.2446528767123288,1.2616,0.0877853295942808,1.0398,1.4606
1110,18:30,365,1.2545246575342466,1.265,0.09012978886519786,1.0529,1.4648
1120,18:40,365,1.252178904109589,1.2613,0.0897587576853275,1.0452,1.449
1130,18:50,365,1.2881276712328769,1.2891,0.1103238259278754,1.0298,1.5733
1140,19:00,365,1.3465827397260275,1.312,0.16486438667120717,1.0568,1.7497
1150,19:10,365,1.352309315068493,1.3118,0.16901939813511987,1.0646,1.7416
1160,19:20,365,1.3444901369863014,1.3062,0.1591241914639226,1.0109,1.6968
1170,19:30,365,1.3482487671232877,1.3114,0.16345443169766807,1.028,1.7686
1180,19:40,365,1.348950684931507,1.3086,0.16257151015165947,1.0496,1.7113
1190,19:50,365,1.3473123287671234,1.3086,0.16234249234292103,1.0708,1.7196
1200,20:00,365,1.348163287671233,1.3079,0.1651561171864566,1.0643,1.7345
1210,20:10,365,1.3513334246575341,1.3106,0.16642909383676716,1.0675,1.7422
1220,20:20,365,1.3400183561643835,1.2996,0.16268586975232552,1.0473,1.7191
1230,20:30,365,1.3489093150684932,1.3101,0.16198406267698917,1.048,1.7648
1240,20:40,365,1.3952457534246576,1.344,0.17167605247756518,1.1047,1.7936
1250,20:50,365,1.2226331506849315,1.1956,0.13715898580488214,0.9615,1.5304
1260,21:00,365,0.9331597260273973,0.9449,0.0979324298616452,0.6863,1.1515
1270,21:10,365,0.9068391780821918,0.9158,0.09226509539903441,0.6926,1.0946
1280,21:20,365,0.9371194520547946,0.9455,0.09355172089927273,0.725,1.1779
1290,21:30,365,0.9370676712328767,0.9458,0.09598149802419509,0.6889,1.1765
1300,21:40,365,0.9870958904109589,0.9985,0.09680419860564037,0.7455,1.1925
1310,21:50,365,0.7764457534246575,0.7842,0.08665922564784481,0.5792,0.9669
1320,22:00,365,0.4209175342465753,0.4223,0.07467136806158751,0.2284,0.6333
1330,22:10,365,0.38586739726027397,0.3833,0.07628521024597802,0.1958,0.5995
1340,22:20,365,0.43682164383561645,0.4365,0.07638671636384711,0.2565,0.6385
1350,22:30,365,0.41980246575342467,0.4151,0.07148947067212263,0.2457,0.6189
1360,22:40,365,0.41858493150684933,0.4161,0.06933483749096946,0.2409,0.6329
1370,22:50,365,0.4240512328767123,0.4248,0.06963351535997539,0.2551,0.6036
1380,23:00,365,0.42366575342465757,0.4237,0.07045607824249554,0.2688,0.6346
1390,23:10,365,0.42478191780821917,0.4234,0.06764847245860199,0.2408,0.5992
1400,23:20,365,0.42404575342465756,0.4251,0.06784089227456663,0.2646,0.5903
1410,23:30,365,0.4220134246575342,0.421,0.07122411703037099,0.2657,0.625
1420,23:40,365,0.42401698630136986,0.4254,0.07061355624848177,0.2763,0.6361
1430,23:50,365,0.4271490410958904,0.4259,0.06457364081700594,0.257,0.6008
