experiment,track,template_date,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,saving_vs_original_b0_yuan,saving_vs_original_b1_yuan,saving_vs_matched_b0_yuan
baseline,B0,2025-02-21,72948.68041666666,0.0,0.0,0.0,47388.41781666666,57944.542163536666,0.0,57944.542163536666,0.0,-11662.25622056784,0.0
baseline,B0,2025-02-22,41452.27103333333,0.0,0.0,1322.5800666666673,14930.0882,30523.402531348336,5239.180406591669,35762.58293794001,0.0,-7224.649855965006,0.0
baseline,B0,2025-02-23,41487.386366666666,0.0,0.0,31409.609033333338,1365.1420999999993,30689.360791279996,136142.83711855003,166832.19790983002,0.0,18705.259411504987,0.0
baseline,B0,2025-02-24,72915.64076666666,0.0,0.0,1367.4978666666684,6080.105333333332,57925.900896751664,5707.173693700008,63633.07459045167,0.0,-11252.886466232107,0.0
baseline,B0,2025-02-25,71340.84615,0.0,0.0,1189.1646833333348,6708.685933333331,56528.87565546167,4526.997257191674,61055.87291265334,0.0,-11852.905511656718,0.0
baseline,B0,2025-02-26,70574.5811,0.0,0.0,1985.5539333333354,3745.2865333333325,55689.62029619,8122.928992016673,63812.54928820667,0.0,-6410.679413999511,0.0
baseline,B0,2025-02-27,71494.60188333332,0.0,0.0,2058.9734166666685,6596.9910999999975,56513.69449829666,9641.421938150008,66155.11643644667,0.0,-11453.915911668744,0.0
baseline,B0,2025-02-28,71818.37646666667,0.0,0.0,0.0,48525.78226666666,57218.283762274994,0.0,57218.283762274994,0.0,-13109.116834571607,0.0
baseline,B0,2025-03-01,40423.3739,0.0,0.0,1042.1934500000002,17806.80115,29805.412800856666,4238.582485150001,34043.99528600667,0.0,-11492.66028546412,0.0
baseline,B0,2025-03-02,39202.1686,0.0,0.0,33393.0319,236.89340000000016,29195.912529305,144457.591422875,173653.50395218,0.0,24568.31874536519,0.0
baseline,B0,2025-03-03,72565.23716666666,0.0,0.0,3101.9176500000026,3650.007516666664,58074.61830539332,12905.381060658345,70979.99936605166,0.0,-10560.654742723375,0.0
baseline,B0,2025-03-04,73187.12896666667,0.0,0.0,1056.3219500000018,5043.9925166666635,58615.33442186666,3513.7006569250066,62129.03507879167,0.0,-11157.965799806436,0.0
baseline,B0,2025-03-05,70917.51946666666,0.0,0.0,1025.0600333333352,5812.108199999998,56409.62552094333,4359.747663525009,60769.373184468335,0.0,-10179.101295002649,0.0
baseline,B0,2025-03-06,68746.84356666666,0.0,0.0,2020.9098333333354,4827.099199999999,54602.436482583325,8142.600311666674,62745.03679425,0.0,-10840.152023843017,0.0
baseline,B0,2025-03-07,69061.29818333333,0.0,0.0,0.0,48139.012983333334,54690.57551408167,0.0,54690.57551408167,0.0,-11986.159362344486,0.0
baseline,B0,2025-03-08,38163.219,0.0,0.0,1086.6280333333345,20186.707533333334,28211.788095021664,3501.5568950583374,31713.34499008,0.0,-11688.315904513474,0.0
baseline,B0,2025-03-09,38351.67866666667,0.0,0.0,29309.651033333335,4327.805,28272.64962005333,126783.25362373334,155055.90324378666,0.0,15715.962086684187,0.0
baseline,B0,2025-03-10,67632.91505,0.0,0.0,2357.112933333335,1947.9561833333319,53617.15030977166,9674.627638466673,63291.777948238334,0.0,-2671.9359208834576,0.0
baseline,B0,2025-03-11,68963.36156666666,0.0,0.0,1434.4197166666681,6458.863183333331,54673.330311314996,5820.279968708339,60493.610280023335,0.0,-11061.28916182954,0.0
baseline,B0,2025-03-12,67582.28446666665,0.0,0.0,1288.7329833333365,6435.483149999998,53359.18788306666,4572.417165650011,57931.60504871667,0.0,-12083.548649854129,0.0
baseline,B0,2025-03-13,67275.52568333334,0.0,0.0,2602.8593000000014,2332.7671833333316,53046.25651306332,11643.583118916671,64689.839631979994,0.0,829.8669950235853,0.0
baseline,B0,2025-03-14,68447.18421666666,0.0,0.0,0.0,52417.75861666666,54283.169256723326,0.0,54283.169256723326,0.0,-10763.374764624386,0.0
baseline,B0,2025-03-15,37439.532783333336,0.0,0.0,1772.7544666666674,18288.16215,27652.068794351668,6232.22574984167,33884.29454419334,0.0,-8513.375819037166,0.0
baseline,B0,2025-03-16,38022.83546666666,0.0,0.0,28899.249733333334,3571.0383,28060.128457295003,123211.66800192502,151271.79645922003,0.0,21146.636356273782,0.0
baseline,B0,2025-03-17,66904.63905,0.0,0.0,724.3634333333347,9770.871183333331,52695.00225144,3159.777462641672,55854.77971408167,0.0,-11854.611957819834,0.0
baseline,B0,2025-03-18,64310.8223,0.0,0.0,2931.516266666669,6116.380766666666,50490.50458842833,13671.63706787501,64162.14165630334,0.0,-6394.185778885687,0.0
baseline,B0,2025-03-19,65997.06191666666,0.0,0.0,1074.4633333333354,7606.054349999997,52233.041959908325,3851.0332948333416,56084.07525474166,0.0,-12794.980508455861,0.0
baseline,B0,2025-03-20,65489.828066666654,0.0,0.0,2007.682716666668,5288.548583333331,51737.01116727166,7922.086396441673,59659.09756371333,0.0,-6337.298666136172,0.0
baseline,B0,2025-03-21,66288.09016666666,0.0,0.0,0.0,54254.62596666666,52362.597257596666,0.0,52362.597257596666,0.0,-12270.270794552467,0.0
baseline,B0,2025-03-22,36960.684949999995,0.0,0.0,909.7904500000004,21989.2759,27161.824219253333,2953.4999747333345,30115.324193986668,0.0,-4506.891341094019,0.0
baseline,B0,2025-03-23,36572.3261,0.0,0.0,27851.371,5653.9766,26796.7215019,119546.5772045,146343.2987064,0.0,12518.544088720402,0.0
baseline,B0,2025-03-24,64439.508716666656,0.0,0.0,2007.5235666666676,8448.534983333331,50712.797772355,7963.331679375004,58676.129451730005,0.0,-9024.01550866494,0.0
baseline,B0,2025-03-25,64965.31253333333,0.0,0.0,2094.5020333333373,6109.689866666665,51077.518956828324,8622.025197641684,59699.54415447001,0.0,-3973.151398789436,0.0
baseline,B0,2025-03-26,65763.36768333333,0.0,0.0,887.1467500000012,11057.959533333333,51790.20755320667,3234.177821075004,55024.38537428167,0.0,-10378.971391802479,0.0
baseline,B0,2025-03-27,63747.2914,0.0,0.0,2009.1579166666693,7039.4597166666645,50038.85096706833,7591.025179225009,57629.87614629333,0.0,-2924.72548572666,0.0
baseline,B0,2025-03-28,64617.37646666666,0.0,0.0,0.0,53795.495566666665,50688.86343846,0.0,50688.86343846,0.0,-12962.42792414964,0.0
baseline,B0,2025-03-29,36190.60091666666,0.0,0.0,1405.190316666668,29888.581133333333,26474.62792378333,5164.901215533338,31639.529139316666,0.0,-11586.56994750405,0.0
baseline,B0,2025-03-30,36258.867399999996,0.0,0.0,26897.324,7810.571400000001,26536.18588323333,114339.66314273335,140875.8490259667,0.0,24541.42889523154,0.0
baseline,B0,2025-03-31,63138.772933333334,0.0,0.0,1621.6118833333353,7808.994816666665,49396.670346206665,6769.6524452083395,56166.322791415005,0.0,-4875.164476527163,0.0
baseline,B0,2025-04-01,62657.35433333333,0.0,0.0,1796.8247833333362,4245.328116666666,48926.42998366666,7084.632083375012,56011.062067041676,0.0,-3313.9233902313645,0.0
baseline,B0,2025-04-02,63267.56999999999,0.0,0.0,3162.8827500000016,5995.117149999999,49379.293616415,15136.519834941671,64515.81345135668,0.0,-8934.06130144297,0.0
baseline,B0,2025-04-03,64256.92166666666,0.0,0.0,1815.303800000002,10208.695266666664,50628.006575698324,7248.279006100009,57876.285581798336,0.0,-10164.388025521665,0.0
baseline,B0,2025-04-04,63941.906749999995,0.0,0.0,0.0,57511.10425,50104.00530295,0.0,50104.00530295,0.0,-14025.825335571848,0.0
baseline,B0,2025-04-05,35183.187600000005,0.0,0.0,1285.5249666666673,24424.596666666668,25591.69055368333,4604.303601300003,30195.99415498333,0.0,3013.9396755850394,0.0
baseline,B0,2025-04-06,35498.999983333335,0.0,0.0,26809.396116666667,7898.319299999999,25817.603927145,114222.501036125,140040.10496327002,0.0,14539.42111475661,0.0
baseline,B0,2025-04-07,62319.71235,0.0,0.0,869.1321333333344,9946.125083333332,48666.942807025,2789.430913550003,51456.373720575,0.0,-8258.894412833644,0.0
baseline,B0,2025-04-08,61201.375049999995,0.0,0.0,2858.245166666669,9706.426416666665,47481.02653560667,13125.130248700007,60606.15678430667,0.0,-5499.416845330212,0.0
baseline,B0,2025-04-09,63264.71541666666,0.0,0.0,1787.162416666669,5917.566233333329,49593.79851384333,6851.9975581500075,56445.79607199333,0.0,1792.3392974676026,0.0
baseline,B0,2025-04-10,63233.20355,0.0,0.0,1546.244916666668,10318.810566666663,49354.88873361666,6329.174290175004,55684.06302379166,0.0,-11167.956016035736,0.0
baseline,B0,2025-04-11,62800.96408333333,0.0,0.0,0.0,57484.313883333336,49121.342991993326,0.0,49121.342991993326,0.0,-13861.840654096231,0.0
baseline,B0,2025-04-12,34949.683899999996,0.0,0.0,952.8044666666672,26877.328266666664,25286.416923856665,3429.0596575833347,28715.476581439998,0.0,19.933618928953365,0.0
baseline,B0,2025-04-13,34236.092633333334,0.0,0.0,26977.650866666667,6937.3852,24786.814373656667,115353.25812416668,140140.07249782333,0.0,17759.985645541863,0.0
baseline,B0,2025-04-14,61250.91665,0.0,0.0,1240.1091000000015,9962.993249999996,47873.361360756666,4160.530877216672,52033.89223797334,0.0,-10596.977556644451,0.0
baseline,B0,2025-04-15,60243.436449999994,0.0,0.0,1576.611416666668,11680.618366666666,46758.72286865667,6248.616812116671,53007.33968077334,0.0,-8392.977900697399,0.0
baseline,B0,2025-04-16,59778.741649999996,0.0,0.0,2166.470916666668,6165.619966666665,46472.455505339996,8373.929714158336,54846.385219498334,0.0,2769.1088214148767,0.0
baseline,B0,2025-04-17,61228.37654999999,0.0,0.0,979.9464166666685,9339.980566666665,47489.95025294833,4687.287014633341,52177.23726758167,0.0,-10047.780189344761,0.0
baseline,B0,2025-04-18,60612.49359999999,0.0,0.0,0.0,54258.37629999999,47289.08022513666,0.0,47289.08022513666,0.0,-13216.641171799485,0.0
baseline,B0,2025-04-19,33799.031749999995,0.0,0.0,1098.7623000000006,28113.114649999996,24290.578489093332,3612.053363233335,27902.631852326667,0.0,-9119.929714709011,0.0
baseline,B0,2025-04-20,33585.180049999995,0.0,0.0,26639.18945,8266.624099999999,24116.524950599996,113722.96622365002,137839.49117425003,0.0,23952.84681436044,0.0
baseline,B0,2025-04-21,60203.15933333333,0.0,0.0,1230.4296666666678,12916.678199999998,46852.04865019167,4395.906653558336,51247.95530375,0.0,-10658.953361003885,0.0
baseline,B0,2025-04-22,59114.52453333333,0.0,0.0,1849.8163333333357,8811.411666666665,45573.42158045,7626.316288808341,53199.73786925834,0.0,-1205.294046223331,0.0
baseline,B0,2025-04-23,59547.576766666665,0.0,0.0,1076.7902166666684,9224.450183333334,45987.40838998833,4135.894829125007,50123.30321911334,0.0,-10568.368291730221,0.0
baseline,B0,2025-04-24,58999.10508333333,0.0,0.0,897.7977166666683,12806.7963,45464.77541082166,4288.889516441673,49753.66492726334,0.0,-10370.402472145783,0.0
baseline,B0,2025-04-25,58202.16106666667,0.0,0.0,0.0,56201.803566666655,45109.89826292333,0.0,45109.89826292333,0.0,-14184.465763918332,0.0
baseline,B0,2025-04-26,33027.922516666666,0.0,0.0,1322.3516500000005,34280.08096666666,23685.78017658,4679.943048866668,28365.723225446665,0.0,-2878.30193741939,0.0
baseline,B0,2025-04-27,33305.3062,0.0,0.0,26283.7301,11015.564900000001,23927.342478314997,111847.20907597501,135774.55155429,0.0,21001.04482394093,0.0
baseline,B0,2025-04-28,59540.91755,0.0,0.0,2413.054383333336,5332.004433333332,46276.20836416666,9902.952286641674,56179.160650808335,0.0,8567.351337238528,0.0
baseline,B0,2025-04-29,60468.95873333333,0.0,0.0,1005.9300500000027,14041.67488333333,47004.21694732334,4196.976558075011,51201.19350539835,0.0,-11628.990886219697,0.0
baseline,B0,2025-04-30,58272.29451666666,0.0,0.0,1250.7679666666677,11266.207783333331,44985.02765490333,4701.214274091669,49686.241928995,0.0,-4065.99040948553,0.0
baseline,B0,2025-05-01,56943.71169999999,0.0,0.0,5901.126250000003,11833.45885,43805.564178135,27273.48804334168,71079.05222147668,0.0,-8495.626340252042,0.0
baseline,B0,2025-05-02,62471.1306,0.0,0.0,0.0,48180.81049999999,49061.00431348833,0.0,49061.00431348833,0.0,-14497.765844958703,0.0
baseline,B0,2025-05-03,36795.86943333333,0.0,0.0,1168.9310166666671,29097.62865,27179.20380312,4792.768296941669,31971.97210006167,0.0,-11770.24369875747,0.0
baseline,B0,2025-05-04,35804.392916666664,0.0,0.0,24219.106083333336,8288.8313,26421.280098794996,101710.68317467501,128131.96327347,0.0,17470.44866139724,0.0
baseline,B0,2025-05-05,60039.777,0.0,0.0,3828.9887333333345,8792.758033333332,46770.37709205333,16647.856330583334,63418.233422636666,0.0,-2747.875073638337,0.0
baseline,B0,2025-05-06,62607.04705,0.0,0.0,1897.8522833333363,11634.816733333333,49118.549608915,6935.78085250001,56054.330461415004,0.0,-12702.701673947588,0.0
baseline,B0,2025-05-07,62590.17173333333,0.0,0.0,2334.087900000002,9856.413833333334,48950.451525899996,10105.873614108341,59056.32514000834,0.0,-6556.499150153337,0.0
baseline,B0,2025-05-08,63242.264566666665,0.0,0.0,1065.3173166666684,8481.069083333332,49581.21419159499,4528.949122933341,54110.163314528334,0.0,-5147.4793473026075,0.0
baseline,B0,2025-05-09,61607.2695,0.0,0.0,0.0,53107.883799999996,48209.70734300333,0.0,48209.70734300333,0.0,-12127.61242981474,0.0
baseline,B0,2025-05-10,35616.99106666667,0.0,0.0,1380.4719833333345,24876.41755,26255.98762072,4855.6044981500045,31111.592118870005,0.0,-3062.7516140231564,0.0
baseline,B0,2025-05-11,35435.763966666666,0.0,0.0,25921.632233333337,5873.3174,26046.480744939996,109695.14235305002,135741.62309799,0.0,18659.763280339277,0.0
baseline,B0,2025-05-12,61322.394733333334,0.0,0.0,1316.7540000000015,10707.95373333333,47970.54283367333,5310.41076665834,53280.953600331675,0.0,-7403.721269499147,0.0
baseline,B0,2025-05-13,59259.40225,0.0,0.0,2395.8301000000006,8526.019849999999,46015.624040171664,11320.394620283334,57336.018660454996,0.0,-3670.0109558622207,0.0
baseline,B0,2025-05-14,60036.03251666666,0.0,0.0,1727.5062166666692,8749.390433333332,47013.58362969166,6540.414519050009,53553.998148741666,0.0,-9425.670948472412,0.0
baseline,B0,2025-05-15,60050.75998333334,0.0,0.0,2437.9686666666685,9723.66965,46806.727235335,9486.15814605834,56292.88538139334,0.0,-9627.080970328374,0.0
baseline,B0,2025-05-16,60922.365699999995,0.0,0.0,0.0,58206.85949999999,47383.89726718333,0.0,47383.89726718333,0.0,-12974.343991908027,0.0
baseline,B0,2025-05-17,34573.546299999995,0.0,0.0,1749.489666666668,25874.236366666664,25122.346468301665,7248.203135366672,32370.549603668336,0.0,136.81781245279853,0.0
baseline,B0,2025-05-18,35334.50875,0.0,0.0,24734.77185,6393.112000000001,25914.86403129,103672.8464246,129587.71045588999,0.0,19335.56862405967,0.0
baseline,B0,2025-05-19,60072.42494999999,0.0,0.0,1035.1858833333345,13592.39403333333,46650.77762068,4900.0294867750035,51550.807107455,0.0,-10026.895578574797,0.0
baseline,B0,2025-05-20,58728.343916666665,0.0,0.0,2371.132783333336,6572.080799999999,45719.32719083,9984.666522800011,55703.993713630014,0.0,7090.031552528511,0.0
baseline,B0,2025-05-21,59999.13961666666,0.0,0.0,1750.7554000000018,10387.279216666666,46741.163477334994,6653.980999708339,53395.14447704333,0.0,-6657.375900219253,0.0
baseline,B0,2025-05-22,59934.44029999999,0.0,0.0,1427.4143166666681,10545.223916666662,46555.67675629333,5924.843609525005,52480.52036581834,0.0,-8061.606295611236,0.0
baseline,B0,2025-05-23,59313.69805,0.0,0.0,0.0,52892.74824999999,46197.207551901665,0.0,46197.207551901665,0.0,-12895.089795117412,0.0
baseline,B0,2025-05-24,34473.48974999999,0.0,0.0,1050.567500000001,31769.555849999997,25138.52239546833,3392.80040764167,28531.32280311,0.0,-11076.233506064815,0.0
baseline,B0,2025-05-25,34239.58925,0.0,0.0,24341.81875,10036.3967,24854.551558103332,103466.74001468334,128321.29157278666,0.0,21030.67225310902,0.0
baseline,B0,2025-05-26,58598.170816666665,0.0,0.0,2486.711066666668,6505.047983333331,45555.06716262833,10876.089977175005,56431.157139803334,0.0,3188.5044363433335,0.0
baseline,B0,2025-05-27,59848.860233333326,0.0,0.0,1340.6696500000019,11799.162183333332,46801.854451255,4858.132235550007,51659.98668680501,0.0,-11015.351859301074,0.0
baseline,B0,2025-05-28,58416.762350000005,0.0,0.0,2473.9771500000015,8616.914799999999,45397.35365652,10104.648788825005,55502.002445345,0.0,-3259.3313659653795,0.0
baseline,B0,2025-05-29,59588.65836666666,0.0,0.0,2295.869600000002,7774.405466666666,46428.922550815,10473.01011883334,56901.93266964833,0.0,-5096.982336135494,0.0
baseline,B0,2025-05-30,60906.39005,0.0,0.0,0.0,54310.155849999996,47787.84583768333,0.0,47787.84583768333,0.0,-12692.3856974124,0.0
baseline,B0,2025-05-31,34625.2987,0.0,0.0,1682.4192666666677,27918.536366666667,25339.247424931666,5244.090069600004,30583.33749453167,0.0,-8341.150853626477,0.0
baseline,B0,2025-06-01,34369.224083333334,0.0,0.0,37414.633416666664,559.0311000000003,25026.382196889997,158039.81708185002,183066.19927874,0.0,30577.24204302978,0.0
baseline,B0,2025-06-02,71803.26086666666,0.0,0.0,3872.673433333335,7035.126599999998,56642.642701018325,16430.056910841675,73072.69961186001,0.0,-10360.281158929778,0.0
baseline,B0,2025-06-03,72586.43299999999,0.0,0.0,1921.9082000000014,6315.973399999998,57426.706424536664,8695.624967758338,66122.331392295,0.0,-5475.500376113458,0.0
baseline,B0,2025-06-04,71276.74463333334,0.0,0.0,2540.8297166666684,4172.313449999999,56513.400971664996,9122.698432108338,65636.09940377333,0.0,-5842.721479544751,0.0
baseline,B0,2025-06-05,71015.22198333332,0.0,0.0,3943.987200000003,3809.8911833333314,55721.19493364833,16811.41764716668,72532.61258081501,0.0,-10237.148841353926,0.0
baseline,B0,2025-06-06,73184.60618333332,0.0,0.0,0.0,42329.60998333333,57802.549376049996,0.0,57802.549376049996,0.0,-11387.385328844648,0.0
baseline,B0,2025-06-07,43755.7864,0.0,0.0,1143.256283333334,13772.52928333333,32771.089523628325,4252.204457433338,37023.293981061666,0.0,-6303.434160104625,0.0
baseline,B0,2025-06-08,42301.7432,0.0,0.0,26496.722400000006,3613.5423000000005,31636.042558508332,111132.06706150835,142768.10962001668,0.0,13813.272681500006,0.0
baseline,B0,2025-06-09,68806.4273,0.0,0.0,5200.43011666667,3074.145016666665,53865.86037913,23657.056839733345,77522.91721886334,0.0,-3859.259401245552,0.0
baseline,B0,2025-06-10,72883.39276666666,0.0,0.0,2876.5728666666682,4141.520833333332,57789.756259581656,11538.600226275006,69328.35648585667,0.0,-8284.01005192277,0.0
baseline,B0,2025-06-11,72990.71161666667,0.0,0.0,5559.835483333336,2466.1009999999987,57787.018275430004,24328.384673591678,82115.40294902168,0.0,-7606.8052834394475,0.0
baseline,B0,2025-06-12,77126.56316666666,0.0,0.0,1449.4514166666686,6123.623983333329,61644.030794235,5606.867565025007,67250.89835926,0.0,-10509.587789152014,0.0
baseline,B0,2025-06-13,73771.43793333333,0.0,0.0,0.0,45426.12423333332,58687.45934316833,0.0,58687.45934316833,0.0,-10955.263389632346,0.0
baseline,B0,2025-06-14,42042.833216666666,0.0,0.0,1537.1852666666682,17386.675083333328,31606.446204011663,4587.900941983339,36194.347145995,0.0,-7144.514583670611,0.0
baseline,B0,2025-06-15,42040.419083333334,0.0,0.0,29301.531216666666,714.9759000000003,31358.627141150002,126515.63437425,157874.2615154,0.0,23759.443656617572,0.0
baseline,B0,2025-06-16,71327.51681666667,0.0,0.0,4312.587550000002,2946.051266666666,56655.58225535667,17471.74834267501,74127.33059803168,0.0,-10274.869267888345,0.0
baseline,B0,2025-06-17,73900.19799999999,0.0,0.0,3787.908933333336,3051.09553333333,58771.43206971499,15119.168049716676,73890.60011943166,0.0,-8804.181478166502,0.0
baseline,B0,2025-06-18,75021.82764999999,0.0,0.0,1300.4876166666686,5393.923466666665,59633.64715237499,4942.738271141673,64576.385423516665,0.0,-9846.923972333461,0.0
baseline,B0,2025-06-19,71296.39611666667,0.0,0.0,2534.771016666668,5571.66233333333,56393.83959522333,11734.132968325004,68127.97256354833,0.0,-10264.97474780571,0.0
baseline,B0,2025-06-20,71215.92921666667,0.0,0.0,0.0,48815.34841666667,56562.09705116166,0.0,56562.09705116166,0.0,-11786.807059592116,0.0
baseline,B0,2025-06-21,40411.40603333333,0.0,0.0,1765.3288833333345,22841.994616666663,30093.482592804998,6624.485608391671,36717.968201196665,0.0,-10848.955062192032,0.0
baseline,B0,2025-06-22,40226.49478333333,0.0,0.0,29101.624116666666,1870.7776999999992,29639.308386909997,124887.67661585001,154526.98500276002,0.0,23591.11434626844,0.0
baseline,B0,2025-06-23,69279.06025,0.0,0.0,3086.79231666667,5304.566466666665,54595.86637180999,13576.061353500016,68171.92772531,0.0,-10280.34556507384,0.0
baseline,B0,2025-06-24,70403.27021666666,0.0,0.0,7354.162700000004,1488.640216666665,55998.93606140665,30900.678424875012,86899.61448628167,0.0,-2183.266976783314,0.0
baseline,B0,2025-06-25,76396.24176666667,0.0,0.0,1358.3542833333354,7317.174549999996,61047.62397059666,5259.507310983342,66307.13128158,0.0,-10664.864070980359,0.0
baseline,B0,2025-06-26,71274.99631666666,0.0,0.0,2003.4526333333356,5731.065249999997,56453.46311662,9072.803502016677,65526.26661863668,0.0,-10806.273355900572,0.0
baseline,B0,2025-06-27,70046.19993333332,0.0,0.0,0.0,50274.55473333333,55635.12389001667,0.0,55635.12389001667,0.0,-11518.103655013678,0.0
baseline,B0,2025-06-28,39704.6369,0.0,0.0,1687.6510500000013,19615.36185,29558.25168607833,5247.821093741672,34806.07277982,0.0,-7598.451455085746,0.0
baseline,B0,2025-06-29,40005.87401666666,0.0,0.0,30507.99048333333,1246.0947,29545.052601956664,131069.47980556669,160614.53240752337,0.0,22489.38468156813,0.0
baseline,B0,2025-06-30,70545.6937,0.0,0.0,3093.3529666666686,3761.362366666667,55772.55843837833,12614.78704500834,68387.34548338667,0.0,-7207.846178058448,0.0
baseline,B0,2025-07-01,70961.59215,0.0,0.0,10295.35571666667,2390.402466666665,56205.45700171333,38134.78436755001,94340.24136926334,0.0,-9110.578241331576,0.0
baseline,B0,2025-07-02,80289.3396,0.0,0.0,1512.5269166666685,8897.100516666665,62981.978172146664,5677.596647325007,68659.57481947167,0.0,-11181.853988917435,0.0
baseline,B0,2025-07-03,76810.07923333332,0.0,0.0,5881.2329333333355,2930.892966666665,59740.66959834,26115.28098374167,85855.95058208167,0.0,-3615.0458361183264,0.0
baseline,B0,2025-07-04,81343.22468333333,0.0,0.0,0.0,52462.35638333333,64026.199288489996,0.0,64026.199288489996,0.0,-11258.797225345596,0.0
baseline,B0,2025-07-05,49296.715333333326,0.0,0.0,1897.1963000000005,22403.83093333333,36505.82280708167,6874.809190300001,43380.63199738167,0.0,-9946.10637312488,0.0
baseline,B0,2025-07-06,49675.06993333333,0.0,0.0,32408.638366666673,2289.7262,36808.922637955,139612.485379025,176421.40801697999,0.0,21001.29921613293,0.0
baseline,B0,2025-07-07,82058.81646666667,0.0,0.0,1277.0223666666682,9926.35573333333,64720.77572452666,3628.357357508337,68349.133082035,0.0,-10760.08214038401,0.0
baseline,B0,2025-07-08,76776.74738333334,0.0,0.0,5004.491766666671,6209.851649999999,59622.81764483,21825.452468533345,81448.27011336334,0.0,-8742.764539081661,0.0
baseline,B0,2025-07-09,80702.48384999999,0.0,0.0,1122.9620000000014,7766.721049999998,63404.774778018334,4178.437358725007,67583.21213674334,0.0,-5400.569682693342,0.0
baseline,B0,2025-07-10,77785.67628333333,0.0,0.0,2863.513966666669,7795.566249999997,60905.891129685,11035.358870925009,71941.25000061,0.0,-8763.679549719789,0.0
baseline,B0,2025-07-11,78322.18673333334,0.0,0.0,0.0,45803.40933333333,61352.804183379994,0.0,61352.804183379994,0.0,-12617.434176587776,0.0
