interval_index,sample_time_label,sample_minute,interval_start_day_offset,interval_start_minute,interval_end_day_offset,interval_end_minute,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_kwh
135,22:30,1350,0,1350,0,1360,0.4198,3381.9313,0.0000,563.6552,0.0000
136,22:40,1360,0,1360,0,1370,0.4186,3386.5592,0.0000,564.4265,0.0000
137,22:50,1370,0,1370,0,1380,0.4241,3400.4846,0.0000,566.7474,0.0000
138,23:00,1380,0,1380,0,1390,0.4237,3399.2426,0.0000,566.5404,0.0000
139,23:10,1390,0,1390,0,1400,0.4248,3406.9809,0.0000,567.8302,0.0000
140,23:20,1400,0,1400,0,1410,0.4240,3416.1518,0.0000,569.3586,0.0000
141,23:30,1410,0,1410,0,1420,0.4220,3421.9811,0.0000,570.3302,0.0000
142,23:40,1420,0,1420,0,1430,0.4240,3429.6923,0.0000,571.6154,0.0000
143,23:50,1430,0,1430,1,0,0.4271,3439.0610,0.0000,573.1768,0.0000
144,0:00+1,1440,1,0,1,10,0.4276,3444.7259,0.0000,574.1210,0.0000
