source_date,interval_index,sample_minute,interval_start_date,interval_start_minute,interval_end_date,interval_end_minute,load_kw,pv_actual_kw,load_kwh,pv_actual_kwh
2025-01-01,53,530,2025-01-01,530,2025-01-01,540,7275.5130,3122.1315,1212.5855,520.3552
2025-01-01,54,540,2025-01-01,540,2025-01-01,550,7077.2900,3350.9625,1179.5483,558.4937
2025-01-01,55,550,2025-01-01,550,2025-01-01,560,7221.8762,3601.7977,1203.6460,600.2996
2025-01-01,56,560,2025-01-01,560,2025-01-01,570,7229.5513,3875.6352,1204.9252,645.9392
2025-01-01,57,570,2025-01-01,570,2025-01-01,580,7099.3300,4149.8250,1183.2217,691.6375
2025-01-01,58,580,2025-01-01,580,2025-01-01,590,7297.1521,4403.4802,1216.1920,733.9134
2025-01-01,59,590,2025-01-01,590,2025-01-01,600,7313.1756,4624.7505,1218.8626,770.7917
2025-01-01,60,600,2025-01-01,600,2025-01-01,610,7099.4600,4836.6375,1183.2433,806.1062
2025-01-01,61,610,2025-01-01,610,2025-01-01,620,7125.5214,5080.7024,1187.5869,846.7837
2025-01-01,62,620,2025-01-01,620,2025-01-01,630,7096.3104,5338.7528,1182.7184,889.7921
2025-01-01,63,630,2025-01-01,630,2025-01-01,640,6986.1700,5494.7250,1164.3617,915.7875
2025-01-01,64,640,2025-01-01,640,2025-01-01,650,7098.9702,5437.9778,1183.1617,906.3296
2025-01-01,65,650,2025-01-01,650,2025-01-01,660,7193.9930,5396.2126,1198.9988,899.3688
2025-01-01,66,660,2025-01-01,660,2025-01-01,670,7135.1800,5372.1000,1189.1967,895.3500
2025-01-01,67,670,2025-01-01,670,2025-01-01,680,7042.9470,5182.9722,1173.8245,863.8287
2025-01-01,68,680,2025-01-01,680,2025-01-01,690,7069.1675,5131.5011,1178.1946,855.2502
2025-01-01,69,690,2025-01-01,690,2025-01-01,700,7129.1700,5294.7750,1188.1950,882.4625
2025-01-01,70,700,2025-01-01,700,2025-01-01,710,6971.0393,5434.7444,1161.8399,905.7907
2025-01-01,71,710,2025-01-01,710,2025-01-01,720,6648.4937,5455.5011,1108.0823,909.2502
2025-01-01,72,720,2025-01-01,720,2025-01-01,730,6471.2900,5331.7125,1078.5483,888.6187
2025-01-01,73,730,2025-01-01,730,2025-01-01,740,6681.1855,5126.6533,1113.5309,854.4422
2025-01-01,74,740,2025-01-01,740,2025-01-01,750,6585.2714,5118.4895,1097.5452,853.0816
2025-01-01,75,750,2025-01-01,750,2025-01-01,760,6283.9700,5302.5750,1047.3283,883.7625
2025-01-01,76,760,2025-01-01,760,2025-01-01,770,6547.9322,5399.7996,1091.3220,899.9666
2025-01-01,77,770,2025-01-01,770,2025-01-01,780,6747.6789,5377.6488,1124.6131,896.2748
2025-01-01,78,780,2025-01-01,780,2025-01-01,790,6682.3600,5261.8125,1113.7267,876.9688
2025-01-01,79,790,2025-01-01,790,2025-01-01,800,6790.9628,5097.6164,1131.8271,849.6027
2025-01-01,80,800,2025-01-01,800,2025-01-01,810,6916.0165,5029.4534,1152.6694,838.2422
2025-01-01,81,810,2025-01-01,810,2025-01-01,820,6834.7800,5043.8625,1139.1300,840.6437
2025-01-01,82,820,2025-01-01,820,2025-01-01,830,6546.5252,4973.5844,1091.0875,828.9307
2025-01-01,83,830,2025-01-01,830,2025-01-01,840,6539.8730,4769.7524,1089.9788,794.9587
2025-01-01,84,840,2025-01-01,840,2025-01-01,850,6773.9700,4478.6250,1128.9950,746.4375
2025-01-01,85,850,2025-01-01,850,2025-01-01,860,6736.8117,4209.3909,1122.8020,701.5652
2025-01-01,86,860,2025-01-01,860,2025-01-01,870,6623.3813,4060.4316,1103.8969,676.7386
2025-01-01,87,870,2025-01-01,870,2025-01-01,880,6548.9800,3934.4250,1091.4967,655.7375
2025-01-01,88,880,2025-01-01,880,2025-01-01,890,6398.5627,3648.1229,1066.4271,608.0205
2025-01-01,89,890,2025-01-01,890,2025-01-01,900,6196.5854,3431.0164,1032.7642,571.8361
2025-01-01,90,900,2025-01-01,900,2025-01-01,910,6154.6900,3327.3375,1025.7817,554.5562
2025-01-01,91,910,2025-01-01,910,2025-01-01,920,6459.5818,3139.1175,1076.5970,523.1862
2025-01-01,92,920,2025-01-01,920,2025-01-01,930,6622.8857,2860.4253,1103.8143,476.7375
2025-01-01,93,930,2025-01-01,930,2025-01-01,940,6493.6100,2505.0000,1082.2683,417.5000
2025-01-01,94,940,2025-01-01,940,2025-01-01,950,6375.0516,2089.6950,1062.5086,348.2825
2025-01-01,95,950,2025-01-01,950,2025-01-01,960,6354.1130,1762.1562,1059.0188,293.6927
2025-01-01,96,960,2025-01-01,960,2025-01-01,970,6404.2500,1525.8000,1067.3750,254.3000
2025-01-01,97,970,2025-01-01,970,2025-01-01,980,6444.9720,1249.2025,1074.1620,208.2004
2025-01-01,98,980,2025-01-01,980,2025-01-01,990,6399.4586,968.2219,1066.5764,161.3703
2025-01-01,99,990,2025-01-01,990,2025-01-01,1000,6292.1500,706.6125,1048.6917,117.7687
2025-01-01,100,1000,2025-01-01,1000,2025-01-01,1010,6236.9153,440.4383,1039.4859,73.4064
2025-01-01,101,1010,2025-01-01,1010,2025-01-01,1020,6299.9437,180.8850,1049.9906,30.1475
2025-01-01,102,1020,2025-01-01,1020,2025-01-01,1030,6389.0600,2.9625,1064.8433,0.4937
2025-01-01,103,1030,2025-01-01,1030,2025-01-01,1040,6325.1833,0.0000,1054.1972,0.0000
2025-01-01,104,1040,2025-01-01,1040,2025-01-01,1050,6169.4734,5.9578,1028.2456,0.9930
2025-01-01,105,1050,2025-01-01,1050,2025-01-01,1060,6191.9900,0.0000,1031.9983,0.0000
2025-01-01,106,1060,2025-01-01,1060,2025-01-01,1070,6464.5067,0.0000,1077.4178,0.0000
2025-01-01,107,1070,2025-01-01,1070,2025-01-01,1080,5764.0309,0.4277,960.6718,0.0713
2025-01-01,108,1080,2025-01-01,1080,2025-01-01,1090,4529.4500,0.0000,754.9083,0.0000
2025-01-01,109,1090,2025-01-01,1090,2025-01-01,1100,4490.5328,0.0000,748.4221,0.0000
2025-01-01,110,1100,2025-01-01,1100,2025-01-01,1110,4644.0206,0.0307,774.0034,0.0051
2025-01-01,111,1110,2025-01-01,1110,2025-01-01,1120,4469.2100,0.0000,744.8683,0.0000
2025-01-01,112,1120,2025-01-01,1120,2025-01-01,1130,4470.4650,0.0000,745.0775,0.0000
2025-01-01,113,1130,2025-01-01,1130,2025-01-01,1140,4510.8756,0.0022,751.8126,0.0004
2025-01-01,114,1140,2025-01-01,1140,2025-01-01,1150,4486.1700,0.0000,747.6950,0.0000
2025-01-01,115,1150,2025-01-01,1150,2025-01-01,1160,4471.7293,0.0000,745.2882,0.0000
2025-01-01,116,1160,2025-01-01,1160,2025-01-01,1170,4439.8235,0.0000,739.9706,0.0000
2025-01-01,117,1170,2025-01-01,1170,2025-01-01,1180,4387.1900,0.0000,731.1983,0.0000
2025-01-01,118,1180,2025-01-01,1180,2025-01-01,1190,4347.9765,0.0000,724.6627,0.0000
2025-01-01,119,1190,2025-01-01,1190,2025-01-01,1200,4300.6345,0.0000,716.7724,0.0000
2025-01-01,120,1200,2025-01-01,1200,2025-01-01,1210,4315.9900,0.0000,719.3317,0.0000
2025-01-01,121,1210,2025-01-01,1210,2025-01-01,1220,4483.2744,0.0000,747.2124,0.0000
2025-01-01,122,1220,2025-01-01,1220,2025-01-01,1230,4551.7060,0.0000,758.6177,0.0000
2025-01-01,123,1230,2025-01-01,1230,2025-01-01,1240,4499.8000,0.0000,749.9667,0.0000
2025-01-01,124,1240,2025-01-01,1240,2025-01-01,1250,4535.0935,0.0000,755.8489,0.0000
2025-01-01,125,1250,2025-01-01,1250,2025-01-01,1260,4528.9160,0.0000,754.8193,0.0000
2025-01-01,126,1260,2025-01-01,1260,2025-01-01,1270,4483.5100,0.0000,747.2517,0.0000
2025-01-01,127,1270,2025-01-01,1270,2025-01-01,1280,4548.2302,0.0000,758.0384,0.0000
2025-01-01,128,1280,2025-01-01,1280,2025-01-01,1290,4595.6841,0.0000,765.9474,0.0000
2025-01-01,129,1290,2025-01-01,1290,2025-01-01,1300,4620.9000,0.0000,770.1500,0.0000
2025-01-01,130,1300,2025-01-01,1300,2025-01-01,1310,4653.7148,0.0000,775.6191,0.0000
2025-01-01,131,1310,2025-01-01,1310,2025-01-01,1320,4131.9845,0.0000,688.6641,0.0000
2025-01-01,132,1320,2025-01-01,1320,2025-01-01,1330,3363.0000,0.0000,560.5000,0.0000
2025-01-01,133,1330,2025-01-01,1330,2025-01-01,1340,3305.7588,0.0000,550.9598,0.0000
2025-01-01,134,1340,2025-01-01,1340,2025-01-01,1350,3470.9320,0.0000,578.4887,0.0000
2025-01-01,135,1350,2025-01-01,1350,2025-01-01,1360,3521.3700,0.0000,586.8950,0.0000
2025-01-01,136,1360,2025-01-01,1360,2025-01-01,1370,3561.5279,0.0000,593.5880,0.0000
2025-01-01,137,1370,2025-01-01,1370,2025-01-01,1380,3386.0680,0.0000,564.3447,0.0000
2025-01-01,138,1380,2025-01-01,1380,2025-01-01,1390,3289.9900,0.0000,548.3317,0.0000
2025-01-01,139,1390,2025-01-01,1390,2025-01-01,1400,3774.2552,0.0000,629.0425,0.0000
2025-01-01,140,1400,2025-01-01,1400,2025-01-01,1410,3883.6200,0.0000,647.2700,0.0000
2025-01-01,141,1410,2025-01-01,1410,2025-01-01,1420,3525.1400,0.0000,587.5233,0.0000
2025-01-01,142,1420,2025-01-01,1420,2025-01-01,1430,3553.5909,0.0000,592.2651,0.0000
2025-01-01,143,1430,2025-01-01,1430,2025-01-02,0,3697.1141,0.0000,616.1857,0.0000
2025-01-01,144,1440,2025-01-02,0,2025-01-02,10,3696.7000,0.0000,616.1167,0.0000
2025-01-02,1,10,2025-01-02,10,2025-01-02,20,3622.5509,0.0000,603.7585,0.0000
2025-01-02,2,20,2025-01-02,20,2025-01-02,30,3622.7611,0.0000,603.7935,0.0000
2025-01-02,3,30,2025-01-02,30,2025-01-02,40,3708.2300,0.0000,618.0383,0.0000
2025-01-02,4,40,2025-01-02,40,2025-01-02,50,3750.5226,0.0000,625.0871,0.0000
2025-01-02,5,50,2025-01-02,50,2025-01-02,60,3684.9038,0.0000,614.1506,0.0000
2025-01-02,6,60,2025-01-02,60,2025-01-02,70,3644.1400,0.0000,607.3567,0.0000
2025-01-02,7,70,2025-01-02,70,2025-01-02,80,3809.2980,0.0000,634.8830,0.0000
2025-01-02,8,80,2025-01-02,80,2025-01-02,90,3855.1226,0.0000,642.5204,0.0000
2025-01-02,9,90,2025-01-02,90,2025-01-02,100,3783.7800,0.0000,630.6300,0.0000
2025-01-02,10,100,2025-01-02,100,2025-01-02,110,3907.3849,0.0000,651.2308,0.0000
2025-01-02,11,110,2025-01-02,110,2025-01-02,120,3968.2398,0.0000,661.3733,0.0000
2025-01-02,12,120,2025-01-02,120,2025-01-02,130,3886.7700,0.0000,647.7950,0.0000
2025-01-02,13,130,2025-01-02,130,2025-01-02,140,3865.3901,0.0000,644.2317,0.0000
2025-01-02,14,140,2025-01-02,140,2025-01-02,150,3931.6861,0.0000,655.2810,0.0000
2025-01-02,15,150,2025-01-02,150,2025-01-02,160,4055.9800,0.0000,675.9967,0.0000
2025-01-02,16,160,2025-01-02,160,2025-01-02,170,4164.9820,0.0000,694.1637,0.0000
2025-01-02,17,170,2025-01-02,170,2025-01-02,180,4067.4326,0.0000,677.9054,0.0000
2025-01-02,18,180,2025-01-02,180,2025-01-02,190,3919.4400,0.0000,653.2400,0.0000
2025-01-02,19,190,2025-01-02,190,2025-01-02,200,4068.3230,0.0000,678.0538,0.0000
2025-01-02,20,200,2025-01-02,200,2025-01-02,210,4140.4792,0.0000,690.0799,0.0000
2025-01-02,21,210,2025-01-02,210,2025-01-02,220,4061.1200,0.0000,676.8533,0.0000
2025-01-02,22,220,2025-01-02,220,2025-01-02,230,4138.7041,0.0000,689.7840,0.0000
2025-01-02,23,230,2025-01-02,230,2025-01-02,240,4283.3011,0.0000,713.8835,0.0000
2025-01-02,24,240,2025-01-02,240,2025-01-02,250,4330.9800,0.0000,721.8300,0.0000
2025-01-02,25,250,2025-01-02,250,2025-01-02,260,4225.1585,0.0000,704.1931,0.0000
2025-01-02,26,260,2025-01-02,260,2025-01-02,270,4201.9890,0.0000,700.3315,0.0000
2025-01-02,27,270,2025-01-02,270,2025-01-02,280,4273.9000,0.0000,712.3167,0.0000
2025-01-02,28,280,2025-01-02,280,2025-01-02,290,4219.0352,0.0000,703.1725,0.0000
2025-01-02,29,290,2025-01-02,290,2025-01-02,300,4069.3885,0.0000,678.2314,0.0000
2025-01-02,30,300,2025-01-02,300,2025-01-02,310,4030.9500,0.0000,671.8250,0.0000
2025-01-02,31,310,2025-01-02,310,2025-01-02,320,4262.9553,0.0022,710.4925,0.0004
2025-01-02,32,320,2025-01-02,320,2025-01-02,330,4330.5086,0.0000,721.7514,0.0000
2025-01-02,33,330,2025-01-02,330,2025-01-02,340,4149.1300,0.0000,691.5217,0.0000
2025-01-02,34,340,2025-01-02,340,2025-01-02,350,4130.3346,0.0307,688.3891,0.0051
2025-01-02,35,350,2025-01-02,350,2025-01-02,360,4641.7286,0.0000,773.6214,0.0000
2025-01-02,36,360,2025-01-02,360,2025-01-02,370,5411.5900,0.0000,901.9317,0.0000
2025-01-02,37,370,2025-01-02,370,2025-01-02,380,5738.8011,0.4279,956.4668,0.0713
2025-01-02,38,380,2025-01-02,380,2025-01-02,390,5695.3891,0.0000,949.2315,0.0000
2025-01-02,39,390,2025-01-02,390,2025-01-02,400,5537.6600,0.0000,922.9433,0.0000
2025-01-02,40,400,2025-01-02,400,2025-01-02,410,5461.5746,5.9596,910.2624,0.9933
2025-01-02,41,410,2025-01-02,410,2025-01-02,420,5483.6005,0.0000,913.9334,0.0000
2025-01-02,42,420,2025-01-02,420,2025-01-02,430,5540.8800,6.6375,923.4800,1.1062
2025-01-02,43,430,2025-01-02,430,2025-01-02,440,5575.3367,192.5583,929.2228,32.0930
2025-01-02,44,440,2025-01-02,440,2025-01-02,450,5669.9633,445.6222,944.9939,74.2704
2025-01-02,45,450,2025-01-02,450,2025-01-02,460,5566.6600,701.3625,927.7767,116.8937
2025-01-02,46,460,2025-01-02,460,2025-01-02,470,5081.9454,976.5695,846.9909,162.7616
2025-01-02,47,470,2025-01-02,470,2025-01-02,480,5737.5547,1257.8499,956.2591,209.6416
2025-01-02,48,480,2025-01-02,480,2025-01-02,490,7205.7500,1536.3375,1200.9583,256.0562
2025-01-02,49,490,2025-01-02,490,2025-01-02,500,7519.6199,1820.2924,1253.2700,303.3821
2025-01-02,50,500,2025-01-02,500,2025-01-02,510,7253.8265,2132.9788,1208.9711,355.4965
2025-01-02,51,510,2025-01-02,510,2025-01-02,520,7156.6200,2471.7375,1192.7700,411.9563
2025-01-02,52,520,2025-01-02,520,2025-01-02,530,7351.5694,2797.3932,1225.2616,466.2322
2025-01-02,53,530,2025-01-02,530,2025-01-02,540,7430.2399,3047.7556,1238.3733,507.9593
2025-01-02,54,540,2025-01-02,540,2025-01-02,550,7295.2500,3267.2625,1215.8750,544.5437
2025-01-02,55,550,2025-01-02,550,2025-01-02,560,7207.6569,3546.8485,1201.2761,591.1414
2025-01-02,56,560,2025-01-02,560,2025-01-02,570,7113.8825,3726.6890,1185.6471,621.1148
2025-01-02,57,570,2025-01-02,570,2025-01-02,580,7023.1200,3844.2375,1170.5200,640.7062
2025-01-02,58,580,2025-01-02,580,2025-01-02,590,7047.9517,4096.3408,1174.6586,682.7235
2025-01-02,59,590,2025-01-02,590,2025-01-02,600,7129.0191,4283.6623,1188.1698,713.9437
2025-01-02,60,600,2025-01-02,600,2025-01-02,610,7151.1000,4356.1125,1191.8500,726.0187
2025-01-02,61,610,2025-01-02,610,2025-01-02,620,7053.4551,4491.6281,1175.5758,748.6047
2025-01-02,62,620,2025-01-02,620,2025-01-02,630,7028.7906,4766.4090,1171.4651,794.4015
2025-01-02,63,630,2025-01-02,630,2025-01-02,640,7115.5400,5019.4500,1185.9233,836.5750
2025-01-02,64,640,2025-01-02,640,2025-01-02,650,7158.8016,5019.8625,1193.1336,836.6437
2025-01-02,65,650,2025-01-02,650,2025-01-02,660,7104.1648,5077.3715,1184.0275,846.2286
2025-01-02,66,660,2025-01-02,660,2025-01-02,670,6988.4500,5277.5625,1164.7417,879.5938
2025-01-02,67,670,2025-01-02,670,2025-01-02,680,6905.2356,5389.6990,1150.8726,898.2832
2025-01-02,68,680,2025-01-02,680,2025-01-02,690,6918.8526,5368.9190,1153.1421,894.8198
2025-01-02,69,690,2025-01-02,690,2025-01-02,700,7053.4500,5329.9875,1175.5750,888.3312
2025-01-02,70,700,2025-01-02,700,2025-01-02,710,7224.2372,5412.6331,1204.0395,902.1055
2025-01-02,71,710,2025-01-02,710,2025-01-02,720,7061.4737,5429.3182,1176.9123,904.8864
2025-01-02,72,720,2025-01-02,720,2025-01-02,730,6627.8800,5328.3000,1104.6467,888.0500
2025-01-02,73,730,2025-01-02,730,2025-01-02,740,6385.5315,5248.9495,1064.2552,874.8249
2025-01-02,74,740,2025-01-02,740,2025-01-02,750,6379.3415,5219.2319,1063.2236,869.8720
2025-01-02,75,750,2025-01-02,750,2025-01-02,760,6517.0800,5222.8500,1086.1800,870.4750
2025-01-02,76,760,2025-01-02,760,2025-01-02,770,6677.4158,5242.2942,1112.9026,873.7157
2025-01-02,77,770,2025-01-02,770,2025-01-02,780,6740.2590,5308.1571,1123.3765,884.6929
2025-01-02,78,780,2025-01-02,780,2025-01-02,790,6776.2900,5393.2875,1129.3817,898.8813
2025-01-02,79,790,2025-01-02,790,2025-01-02,800,6923.5069,5413.5261,1153.9178,902.2543
2025-01-02,80,800,2025-01-02,800,2025-01-02,810,6851.0971,5337.3076,1141.8495,889.5513
2025-01-02,81,810,2025-01-02,810,2025-01-02,820,6622.1500,5168.2125,1103.6917,861.3687
2025-01-02,82,820,2025-01-02,820,2025-01-02,830,6654.8176,4960.5615,1109.1363,826.7602
2025-01-02,83,830,2025-01-02,830,2025-01-02,840,6745.2794,4873.5040,1124.2132,812.2507
2025-01-02,84,840,2025-01-02,840,2025-01-02,850,6768.7300,4791.4500,1128.1217,798.5750
2025-01-02,85,850,2025-01-02,850,2025-01-02,860,6785.5204,4440.5059,1130.9201,740.0843
2025-01-02,86,860,2025-01-02,860,2025-01-02,870,6651.4681,4102.9755,1108.5780,683.8292
2025-01-02,87,870,2025-01-02,870,2025-01-02,880,6519.7300,3897.7875,1086.6217,649.6312
2025-01-02,88,880,2025-01-02,880,2025-01-02,890,6699.3894,3672.4272,1116.5649,612.0712
2025-01-02,89,890,2025-01-02,890,2025-01-02,900,6745.2289,3411.6250,1124.2048,568.6042
2025-01-02,90,900,2025-01-02,900,2025-01-02,910,6621.1400,3140.1750,1103.5233,523.3625
2025-01-02,91,910,2025-01-02,910,2025-01-02,920,6686.5383,2878.1578,1114.4230,479.6930
2025-01-02,92,920,2025-01-02,920,2025-01-02,930,6510.3340,2617.8995,1085.0557,436.3166
2025-01-02,93,930,2025-01-02,930,2025-01-02,940,6220.7900,2359.9875,1036.7983,393.3313
2025-01-02,94,940,2025-01-02,940,2025-01-02,950,6406.2703,2119.3514,1067.7117,353.2252
2025-01-02,95,950,2025-01-02,950,2025-01-02,960,6474.5982,1904.7231,1079.0997,317.4538
2025-01-02,96,960,2025-01-02,960,2025-01-02,970,6290.2400,1662.6000,1048.3733,277.1000
2025-01-02,97,970,2025-01-02,970,2025-01-02,980,6307.3310,1326.1056,1051.2218,221.0176
2025-01-02,98,980,2025-01-02,980,2025-01-02,990,6312.2172,1011.5001,1052.0362,168.5833
2025-01-02,99,990,2025-01-02,990,2025-01-02,1000,6239.2800,757.7250,1039.8800,126.2875
2025-01-02,100,1000,2025-01-02,1000,2025-01-02,1010,6276.4877,494.5646,1046.0813,82.4274
2025-01-02,101,1010,2025-01-02,1010,2025-01-02,1020,6335.5438,213.8643,1055.9240,35.6440
2025-01-02,102,1020,2025-01-02,1020,2025-01-02,1030,6317.7500,6.6750,1052.9583,1.1125
2025-01-02,103,1030,2025-01-02,1030,2025-01-02,1040,6215.7285,0.0000,1035.9547,0.0000
2025-01-02,104,1040,2025-01-02,1040,2025-01-02,1050,6137.0958,6.7246,1022.8493,1.1208
2025-01-02,105,1050,2025-01-02,1050,2025-01-02,1060,6185.2300,0.0000,1030.8717,0.0000
2025-01-02,106,1060,2025-01-02,1060,2025-01-02,1070,6275.9932,0.0000,1045.9989,0.0000
2025-01-02,107,1070,2025-01-02,1070,2025-01-02,1080,5749.3845,0.4828,958.2307,0.0805
2025-01-02,108,1080,2025-01-02,1080,2025-01-02,1090,4825.2900,0.0000,804.2150,0.0000
2025-01-02,109,1090,2025-01-02,1090,2025-01-02,1100,4462.7208,0.0000,743.7868,0.0000
2025-01-02,110,1100,2025-01-02,1100,2025-01-02,1110,4487.5960,0.0347,747.9327,0.0058
2025-01-02,111,1110,2025-01-02,1110,2025-01-02,1120,4531.3500,0.0000,755.2250,0.0000
2025-01-02,112,1120,2025-01-02,1120,2025-01-02,1130,4433.2667,0.0000,738.8778,0.0000
2025-01-02,113,1130,2025-01-02,1130,2025-01-02,1140,4446.1905,0.0025,741.0317,0.0004
2025-01-02,114,1140,2025-01-02,1140,2025-01-02,1150,4522.6900,0.0000,753.7817,0.0000
2025-01-02,115,1150,2025-01-02,1150,2025-01-02,1160,4365.4081,0.0000,727.5680,0.0000
2025-01-02,116,1160,2025-01-02,1160,2025-01-02,1170,4272.9727,0.0000,712.1621,0.0000
2025-01-02,117,1170,2025-01-02,1170,2025-01-02,1180,4365.7400,0.0000,727.6233,0.0000
2025-01-02,118,1180,2025-01-02,1180,2025-01-02,1190,4459.5799,0.0000,743.2633,0.0000
2025-01-02,119,1190,2025-01-02,1190,2025-01-02,1200,4483.9677,0.0000,747.3279,0.0000
2025-01-02,120,1200,2025-01-02,1200,2025-01-02,1210,4509.2600,0.0000,751.5433,0.0000
2025-01-02,121,1210,2025-01-02,1210,2025-01-02,1220,4622.8615,0.0000,770.4769,0.0000
2025-01-02,122,1220,2025-01-02,1220,2025-01-02,1230,4560.6006,0.0000,760.1001,0.0000
2025-01-02,123,1230,2025-01-02,1230,2025-01-02,1240,4323.4600,0.0000,720.5767,0.0000
2025-01-02,124,1240,2025-01-02,1240,2025-01-02,1250,4224.7758,0.0000,704.1293,0.0000
